CD_SITE;PRECISION;TYPE;EFF_MAX_CHIRO;STATUT;mean.petit_rhino;mean.grand_rhino;mean_grand_murin;mean_daubenton;mean_bechstein;mean_natterer;mean_echancrees;mean_complexe_murins
21478.003;Précis;611;16;Site_rattache;1,571428571;0;3,571428571;0,857142857;0;0,571428571;0;0,142857143
21485.001;Précis;611;208;Site normal;2,222222222;14,16666667;43,33333333;1,388888889;0,055555556;0,222222222;0,5;0,277777778
21512.001;Précis;6211;435;Site normal;168,625;10,0625;49,1875;1,125;0,0625;0,4375;3,5;0
21541.001;Précis;6211;23;Site normal;10,5;0,5;0,5;0;0;0,5;0;0
21541.003;Approximatif;6211;14;Site normal;5;0;1,25;0,25;0;0;0;0
21578.002;Précis;611;44;Site normal;6;0,235294118;2,529411765;1;0,117647059;0,176470588;0;0,176470588
21578.003;Précis;3;15;Site normal;6,5;0;1;0,5;0;0,5;1;0
21582.001;Précis;6211;962;Site normal;262,3333333;81,91666667;197,5833333;6,583333333;0,416666667;6,583333333;39,41666667;1,666666667
21635.001;Précis;6212;53;Site_rattache;32;0;0;0;0;0;0;0,5
21641.001;Précis;611;8;Site normal;2;0;0;0;0;0;0;0
58003.001;Précis;6212;70;Site normal;27,08333333;0;2,083333333;0,833333333;0;0,416666667;0,083333333;0,166666667
58003.002;Précis;6212;21;Site_rattache;3,666666667;0;0,833333333;1,416666667;0;0,083333333;0;0,416666667
58023.004;Précis;611;7;Site normal;1,6;0,4;0;0;0;0;0;0,2
58035.001;Précis;611;320;Site normal;54,66666667;16,33333333;9,666666667;8;0,333333333;6,666666667;165,6666667;0,666666667
58094.001;Précis;623;141;Site normal;88,46666667;0;0;0,133333333;0,133333333;0,066666667;0;0
58126.003;Précis;422;171;Site normal;0;0,0625;36,375;5,5625;0,5;9,1875;2,375;12,3125
58151.001;Précis;6212;15;Site normal;10;0;0;0;0;0;0;0
58159.001;Précis;6212;55;Site normal;4;0;0;0;0;0;0;0
58212.002;Précis;611;104;Site normal;9;15,90909091;15,45454545;5,090909091;1,727272727;4,363636364;3;1,727272727
58282.002;Précis;6211;30;Site normal;1;0;4,2;2;0,2;0,4;0;6,2
58282.007;Précis;611;5;Site normal;3,5;0,5;0;0;0;0;0;0
58309.001;Précis;6212;107;Site normal;39,5;0,5;0,7;0,9;0;0,1;0,4;0
58309.004;Précis;3111;238;Site normal;128,75;0;0;0;0;0;0;0
71016.001;Précis;611;110;Site normal;7,818181818;7,636363636;2,454545455;2,636363636;0;2,545454545;0,545454545;0,181818182
71016.003;Précis;611;18;Site_rattache;2,636363636;1,454545455;2;2,090909091;0;3,454545455;0,181818182;0
71144.001;Précis;6212;781;Site normal;230,6666667;0,833333333;13;2,416666667;0,5;0,75;0;0,083333333
71144.004;Précis;6212;196;Site_rattache;48,54545455;0,181818182;9,181818182;1,181818182;0,090909091;0,090909091;0;0,272727273
71151.001;Précis;6212;20;Site normal;0,666666667;0,666666667;0,333333333;2,333333333;1,666666667;9,333333333;0;0
71184.001;Précis;6212;33;Site normal;10;0,25;0;0,25;0;0;0;0
71193.001;Précis;611;12;Site_rattache;3;0,166666667;0;1,166666667;0;1,166666667;0;0,166666667
71202.002;Précis;6211;63;Site normal;35,85714286;0,857142857;1,142857143;0,928571429;0,214285714;0,214285714;2,928571429;0,071428571
71202.003;Précis;6211;9;Site_rattache;4,714285714;0,142857143;0;0;0;0;0;0
71202.004;Précis;6211;85;Site_rattache;27,14285714;5;2;0,428571429;0;0,071428571;22,07142857;0
71223.002;Précis;6212;41;Site normal;16,81818182;1,181818182;0,090909091;0;0;0;0;0
71337.003;Précis;6211;136;Site normal;82,66666667;0;1,666666667;0;0;0;0;0
